fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,102591,Kotak Savings Fund -Growth,27.244636363636356,10.866985095950414
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,102672,Tata Liquid Fund -Regular Plan  -  Growth,2644.0952777777775,89338.80107153348
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,102673,Nippon India Floating Rate Fund - Growth Plan-Growth Option,26.866831818181822,10.858208513987604
Principal Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,102722,Principal Low Duration Fund- Growth Option,2570.737615909091,47665.2043533759
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,102741,ICICI Prudential Medium Term Bond Fund - Growth,26.20936136363637,10.105293668734506
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,102767,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,29.133145454545453,7.541743922933884
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,102849,Nippon India Dynamic Bond Fund-Growth Plan-Growth Option,22.827743181818185,7.643304581998968
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,102913,Canara Robeco Savings Fund- Regular Plan - GROWTH,26.632865909090913,10.435655373610539
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,103048,Nippon India Money Market Fund-Growth Plan-Growth Option,2527.555601851852,91486.54720319055
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,103159,Tata Treasury Advantage Fund - Regular Plan  - Growth,2547.1095545454546,75913.71758641704
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,325.89426818181823,1986.5453227458054
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,103178,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,65.22805909090908,78.93965319105372
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,103192,Aditya Birla Sun Life Low Duration Fund - Growth Plan,409.87543181818177,2476.6350872076237
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,103195,Aditya Birla Sun Life Low Duration Fund - Institutional Plan - Growth,287.381525,1217.6024595632387
quant Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,103225,Quant Liquid Fund-Growth Option,26.35516984126984,9.140455389725373
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,103340,ICICI Prudential Liquid Fund - Growth,250.36777833333335,796.858960258697
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,103347,DSP Liquidity Fund - Regular Plan - Growth,2416.5796383333336,73464.09128830572
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,103397,Sundaram Money Fund Regular Growth (Formerly Super Institutional Plan),35.4521203125,15.789269254743653
quant Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,103464,Quant Money Market Fund-Growth Option,26.435277272727273,9.875133864483471
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,103633,ICICI Prudential Money Market Fund Option - Growth,232.0666320754717,775.0367844029334
Quantum Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,103734,Quantum Liquid Fund - Direct Plan Growth Option,23.2581350877193,5.619355714207448
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,104138,DSP Ultra Short Fund - Regular Plan - Growth,2257.4592909090907,55154.33766244764
Taurus Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,104241,Taurus Liquid Fund-Growth,2048.2057745762713,24046.5842024602
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,104271,JM Ultra Short Duration Fund - Growth option,23.30374772727272,4.979338520676652
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,104344,HSBC Low Duration Fund  - Growth,14.526209090909093,1.497834867644628
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,104350,HSBC Low Duration Fund  - Regular - Growth,21.061929545454547,2.848528939808884
